# Fitnes,cm,Ra,g_pas
3.082575736880000319e-05,7.772910915419999789e+00,1.469765813330000128e+02,3.923821871429999746e-04
3.105232663229999708e-05,7.830451109670000243e+00,1.527595709779999993e+02,3.973848290949999864e-04
3.132824779750000336e-05,7.916453543380000291e+00,1.509675860559999876e+02,3.988775747200000075e-04
3.068571914709999909e-05,7.719329742160000229e+00,1.420713090259999944e+02,3.870196033620000131e-04
3.073108547610000138e-05,7.772932552860000399e+00,1.438254528330000142e+02,3.885859777849999877e-04
3.064910564489999783e-05,7.706325775889999896e+00,1.393486877210000046e+02,3.856501223949999738e-04
3.061110413000000109e-05,7.615503712889999832e+00,1.319831195239999886e+02,3.772880364900000239e-04
3.063637016579999928e-05,7.684890131490000442e+00,1.384797128760000078e+02,3.828554614210000206e-04
3.059875310420000157e-05,7.658120727180000031e+00,1.352100519990000009e+02,3.806217726479999832e-04
3.243721593130000248e-05,8.109990133900000231e+00,1.729026549890000126e+02,4.151023534680000249e-04
