# Fitnes,cm,Ra,g_pas
5.771493186619999853e-05,9.372506010209999516e+00,8.676334309930000472e+02,6.326441995219999649e-04
5.618931109650000149e-05,9.256199792489999467e+00,7.128124176359999637e+02,6.067783128820000227e-04
5.911017067870000247e-05,9.475170649989999916e+00,1.093916966040000034e+03,6.550315801450000029e-04
5.912128950519999679e-05,9.439055404599999477e+00,1.075437014970000064e+03,6.553341331389999714e-04
5.182130147970000038e-05,9.112389758939999140e+00,4.857226926079999885e+02,5.618101032279999765e-04
5.803416234720000126e-05,9.395721974749999816e+00,9.029608597459999828e+02,6.377325628090000460e-04
3.773326507150000025e-05,8.409383748459999808e+00,2.345021266820000108e+02,4.618583427790000037e-04
4.486527615519999689e-05,8.745208075620000798e+00,3.286646782180000059e+02,5.056723880739999975e-04
5.497936418469999870e-05,9.135169746620000808e+00,6.199031401859999733e+02,5.971618235509999892e-04
5.527540408149999939e-05,9.205725858459999245e+00,6.379349585249999564e+02,6.010715010390000083e-04
