# Fitnes,cm,Ra,g_pas
3.059821838920000149e-05,7.649783991559999663e+00,1.347218632169999921e+02,3.801412713299999902e-04
3.059821837919999828e-05,7.649656652900000076e+00,1.347109924130000138e+02,3.801307507999999785e-04
3.059846920520000330e-05,7.653918263409999589e+00,1.351078401050000082e+02,3.805211996880000064e-04
3.059823094009999771e-05,7.648574036990000380e+00,1.346474162519999993e+02,3.801237893929999747e-04
3.059828830679999753e-05,7.646705718529999807e+00,1.345353098839999859e+02,3.799605740780000228e-04
3.059821856669999753e-05,7.649774935219999961e+00,1.347183740350000107e+02,3.801428915079999981e-04
3.059821836620000088e-05,7.649732871590000371e+00,1.347160124950000011e+02,3.801354441180000037e-04
3.059826754119999683e-05,7.649381468919999705e+00,1.347746402779999926e+02,3.802282684729999950e-04
3.059821892489999876e-05,7.649969924039999647e+00,1.347274478729999885e+02,3.801311757309999793e-04
3.059834606120000129e-05,7.646725333440000050e+00,1.345740579939999861e+02,3.801240691530000256e-04
